               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036898,             0.11625,           0.0014935,              0.8275,             0.92955,             0.92036,             0.58754,            0.027545,            0.070481,          0.00074396,            0.006535,            0.006535,            0.006535
                  37,            0.036171,             0.11807,           0.0014265,             0.84859,             0.88507,             0.90309,             0.55278,            0.028386,            0.070975,           0.0007493,            0.006436,            0.006436,            0.006436
                  38,            0.037217,             0.12118,           0.0013686,              0.8259,             0.93239,             0.91157,             0.55565,            0.028633,            0.070675,          0.00069492,            0.006337,            0.006337,            0.006337
                  39,            0.036388,             0.11892,           0.0013613,             0.84861,             0.91477,             0.92313,             0.56343,            0.029106,            0.069527,          0.00064979,            0.006238,            0.006238,            0.006238
                  40,            0.036578,             0.11968,           0.0012438,             0.86093,             0.90988,              0.9196,             0.59266,            0.027911,            0.069381,          0.00062319,            0.006139,            0.006139,            0.006139
                  41,            0.035685,             0.11899,           0.0013187,             0.85383,             0.89574,             0.91874,             0.57397,            0.026959,            0.067838,           0.0006703,             0.00604,             0.00604,             0.00604
                  42,             0.03593,             0.11792,           0.0012648,             0.82756,             0.93355,             0.92178,             0.56701,            0.028333,            0.068676,          0.00066346,            0.005941,            0.005941,            0.005941
                  43,            0.035348,             0.11737,           0.0012869,             0.83254,             0.92906,             0.92522,             0.58906,            0.026409,            0.072725,          0.00060983,            0.005842,            0.005842,            0.005842
                  44,            0.035265,             0.11967,            0.001237,             0.81023,             0.88583,             0.90403,             0.58797,            0.027728,            0.073352,          0.00062042,            0.005743,            0.005743,            0.005743
                  45,            0.034622,             0.11742,           0.0012107,             0.85898,             0.90377,             0.92505,             0.59794,            0.026895,            0.067963,          0.00055364,            0.005644,            0.005644,            0.005644
                  46,            0.035056,             0.11831,           0.0012501,             0.84826,             0.87207,             0.90275,             0.56698,              0.0269,            0.069639,          0.00061221,            0.005545,            0.005545,            0.005545
